Year,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name
"1930,""Montevideo "",France,4,1,Mexico
"1930,""Montevideo "",USA,3,0,Belgium
"1930,""Montevideo "",Yugoslavia,2,1,Brazil
"1930,""Montevideo "",Romania,3,1,Peru
"1930,""Montevideo "",Argentina,1,0,France
"1930,""Montevideo "",Chile,3,0,Mexico
"1930,""Montevideo "",Yugoslavia,4,0,Bolivia
"1930,""Montevideo "",USA,3,0,Paraguay
"1930,""Montevideo "",Uruguay,1,0,Peru
"1930,""Montevideo "",Chile,1,0,France
"1930,""Montevideo "",Argentina,6,3,Mexico
"1930,""Montevideo "",Brazil,4,0,Bolivia
"1930,""Montevideo "",Paraguay,1,0,Belgium
"1930,""Montevideo "",Uruguay,4,0,Romania
"1930,""Montevideo "",Argentina,3,1,Chile
"1930,""Montevideo "",Argentina,6,1,USA
"1930,""Montevideo "",Uruguay,6,1,Yugoslavia
"1930,""Montevideo "",Uruguay,4,2,Argentina
"1934,""Turin "",Austria,3,2,France
"1934,""Naples "",Hungary,4,2,Egypt
"1934,""Milan "",Switzerland,3,2,Netherlands
"1934,""Bologna "",Sweden,3,2,Argentina
"1934,""Florence "",Germany,5,2,Belgium
"1934,""Genoa "",Spain,3,1,Brazil
"1934,""Rome "",Italy,7,1,USA
"1934,""Trieste "",Czechoslovakia,2,1,Romania
"1934,""Turin "",Czechoslovakia,3,2,Switzerland
"1934,""Milan "",Germany,2,1,Sweden
"1934,""Florence "",Italy,1,1,Spain
"1934,""Bologna "",Austria,2,1,Hungary
"1934,""Florence "",Italy,1,0,Spain
"1934,""Milan "",Italy,1,0,Austria
"1934,""Rome "",Czechoslovakia,3,1,Germany
"1934,""Naples "",Germany,3,2,Austria
"1934,""Rome "",Italy,2,1,Czechoslovakia
"1938,""Paris "",Switzerland,1,1,Germany
"1938,""Reims "",Hungary,6,0,Dutch East Indies
"1938,""Colombes "",France,3,1,Belgium
"1938,""Toulouse "",Cuba,3,3,Romania
"1938,""Marseilles "",Italy,2,1,Norway
"1938,""Strasbourg "",Brazil,6,5,Poland
"1938,""Le Havre "",Czechoslovakia,3,0,Netherlands
"1938,""Toulouse "",Cuba,2,1,Romania
"1938,""Paris "",Switzerland,4,2,Germany
"1938,""Bordeaux "",Brazil,1,1,Czechoslovakia
"1938,""Lille "",Hungary,2,0,Switzerland
"1938,""Antibes "",Sweden,8,0,Cuba
"1938,""Colombes "",Italy,3,1,France
"1938,""Bordeaux "",Brazil,2,1,Czechoslovakia
"1938,""Paris "",Hungary,5,1,Sweden
"1938,""Marseilles "",Italy,2,1,Brazil
"1938,""Bordeaux "",Brazil,4,2,Sweden
"1938,""Colombes "",Italy,4,2,Hungary
"1950,""Rio De Janeiro "",Brazil,4,0,Mexico
"1950,""Rio De Janeiro "",England,2,0,Chile
"1950,""Curitiba "",Spain,3,1,USA
"1950,""Sao Paulo "",Sweden,3,2,Italy
"1950,""Belo Horizonte "",Yugoslavia,3,0,Switzerland
