MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
180,8,3070,1300,3504,120,70,US
150,8,3500,1650,3693,115,70,US
180,8,3180,1500,3436,110,70,US
160,8,3040,1500,3433,120,70,US
170,8,3020,1400,3449,105,70,US
150,8,4290,1980,4341,100,70,US
140,8,4540,2200,4354,90,70,US
140,8,4400,2150,4312,85,70,US
140,8,4550,2250,4425,100,70,US
150,8,3900,1900,3850,85,70,US
0,4,1330,1150,3090,175,70,Europe
0,8,3500,1650,4142,115,70,US
0,8,3510,1530,4034,110,70,US
0,8,3830,1750,4166,105,70,US
0,8,3600,1750,3850,110,70,US
150,8,3830,1700,3563,100,70,US
140,8,3400,1600,3609,80,70,US
0,8,3020,1400,3353,80,70,US
150,8,4000,1500,3761,95,70,US
140,8,4550,2250,3086,100,70,US
240,4,1130,9500,2372,150,70,Japan
220,6,1980,9500,2833,155,70,US
180,6,1990,9700,2774,155,70,US
210,6,2000,8500,2587,160,70,US
270,4,9700,8800,2130,145,70,Japan
260,4,9700,4600,1835,205,70,Europe
250,4,1100,8700,2672,175,70,Europe
240,4,1070,9000,2430,145,70,Europe
250,4,1040,9500,2375,175,70,Europe
260,4,1210,1130,2234,125,70,Europe
210,6,1990,9000,2648,150,70,US
100,8,3600,2150,4615,140,70,US
100,8,3070,2000,4376,150,70,US
110,8,3180,2100,4382,135,70,US
90,8,3040,1930,4732,185,70,US
270,4,9700,8800,2130,145,71,Japan
280,4,1400,9000,2264,155,71,US
250,4,1130,9500,2228,140,71,Japan
250,4,9800,0,2046,190,71,US
0,4,9700,4800,1978,200,71,Europe
190,6,2320,1000,2634,130,71,US
160,6,2250,1050,3439,155,71,US
170,6,2500,1000,3329,155,71,US
190,6,2500,8800,3302,155,71,US
180,6,2320,1000,3288,155,71,US
140,8,3500,1650,4209,120,71,US
140,8,4000,1750,4464,115,71,US
140,8,3510,1530,4154,135,71,US
140,8,3180,1500,4096,130,71,US
120,8,3830,1800,4955,115,71,US
130,8,4000,1700,4746,120,71,US
130,8,4000,1750,5140,120,71,US
180,6,2580,1100,2962,135,71,US
220,4,1400,7200,2408,190,71,US
190,6,2500,1000,3282,150,71,US
180,6,2500,8800,3139,145,71,US
230,4,1220,8600,2220,140,71,US
280,4,1160,9000,2123,140,71,Europe
300,4,7900,7000,2074,195,71,Europe
300,4,8800,7600,2065,145,71,Europe
310,4,7100,6500,1773,190,71,Japan
350,4,7200,6900,1613,180,71,Japan
270,4,9700,6000,1834,190,71,Europe
260,4,9100,7000,1955,205,71,US
240,4,1130,9500,2278,155,72,Japan
250,4,9750,8000,2126,170,72,US
230,4,9700,5400,2254,235,72,Europe
200,4,1400,9000,2408,195,72,US
210,4,1220,8600,2226,165,72,US
130,8,3500,1650,4274,120,72,US
140,8,4000,1750,4385,120,72,US
150,8,3180,1500,4135,135,72,US
140,8,3510,1530,4129,130,72,US
170,8,3040,1500,3672,115,72,US
110,8,4290,2080,4633,110,72,US
130,8,3500,1550,4502,135,72,US
120,8,3500,1600,4456,135,72,US
130,8,4000,1900,4422,125,72,US
190,3,7000,9700,2330,135,72,Japan
150,8,3040,1500,3892,125,72,US
130,8,3070,1300,4098,140,72,US
130,8,3020,1400,4294,160,72,US
140,8,3180,1500,4077,140,72,US
180,4,1210,1120,2933,145,72,Europe
220,4,1210,7600,2511,180,72,Europe
210,4,1200,8700,2979,195,72,Europe
260,4,9600,6900,2189,180,72,Europe
220,4,1220,8600,2395,160,72,US
280,4,9700,9200,2288,170,72,Japan
230,4,1200,9700,2506,145,72,Japan
280,4,9800,8000,2164,150,72,US
270,4,9700,8800,2100,165,72,Japan
130,8,3500,1750,4100,130,73,US
140,8,3040,1500,3672,115,73,US
130,8,3500,1450,3988,130,73,US
140,8,3020,1370,4042,145,73,US
150,8,3180,1500,3777,125,73,US
120,8,4290,1980,4952,115,73,US
130,8,4000,1500,4464,120,73,US
130,8,3510,1580,4363,130,73,US
140,8,3180,1500,4237,145,73,US
130,8,4400,2150,4735,110,73,US
120,8,4550,2250,4951,110,73,US
130,8,3600,1750,3821,110,73,US
180,6,2250,1050,3121,165,73,US
160,6,2500,1000,3278,180,73,US
180,6,2320,1000,2945,160,73,US
180,6,2500,8800,3021,165,73,US
230,6,1980,9500,2904,160,73,US
260,4,9700,4600,1950,210,73,Europe
110,8,4000,1500,4997,140,73,US
120,8,4000,1670,4906,125,73,US
130,8,3600,1700,4654,130,73,US
120,8,3500,1800,4499,125,73,US
180,6,2320,1000,2789,150,73,US
200,4,9700,8800,2279,190,73,Japan
210,4,1400,7200,2401,195,73,US
220,4,1080,9400,2379,165,73,Japan
