@RELATION 

@ATTRIBUTE HomeTeam STRING
@ATTRIBUTE HomeTeamGoals numeric
@ATTRIBUTE AwayTeamGoals numeric
@ATTRIBUTE AwayTeamName	STRING
@ATTRIBUTE year {1930, 1934, 1938, 1942, 1946, 1950, 1954, 1958, 1962, 1966, 1970, 1974, 1978, 1982, 1986, 1990, 1994, 1998, 2002, 2006, 2010, 2014}



@DATA
France,4,1,Mexico,1930
USA,3,0,Belgium,1930
Yugoslavia,2,1,Brazil,1930
Romania,3,1,Peru,1930
Argentina,1,0,France,1930
Chile,3,0,Mexico,1930
Yugoslavia,4,0,Bolivia,1930
USA,3,0,Paraguay,1930
Uruguay,1,0,Peru,1930
Chile,1,0,France,1930
Argentina,6,3,Mexico,1930
Brazil,4,0,Bolivia,1930
Paraguay,1,0,Belgium,1930
Uruguay,4,0,Romania,1930
Argentina,3,1,Chile,1930
Argentina,6,1,USA,1930
Uruguay,6,1,Yugoslavia,1930
Uruguay,4,2,Argentina,1930
Austria,3,2,France,1934
Hungary,4,2,Egypt,1934
Switzerland,3,2,Netherlands,1934
Sweden,3,2,Argentina,1934
Germany,5,2,Belgium,1934
Spain,3,1,Brazil,1934
Italy,7,1,USA,1934
Czechoslovakia,2,1,Romania,1934
Czechoslovakia,3,2,Switzerland,1934
Germany,2,1,Sweden,1934
Italy,1,1,Spain,1934
Austria,2,1,Hungary,1934
Italy,1,0,Spain,1934
Italy,1,0,Austria,1934
Czechoslovakia,3,1,Germany,1934
Germany,3,2,Austria,1934
Italy,2,1,Czechoslovakia,1934
Switzerland,1,1,Germany,1938
Hungary,6,0,Dutch East Indies,1938
France,3,1,Belgium,1938
Cuba,3,3,Romania,1938
Italy,2,1,Norway,1938,
Brazil,6,5,Poland,1938,
Czechoslovakia,3,0,Netherlands,1938
Cuba,2,1,Romania,1938
Switzerland,4,2,Germany,1938
Brazil,1,1,Czechoslovakia,1938
Hungary,2,0,Switzerland,1938
Sweden,8,0,Cuba,1938
Italy,3,1,France,1938
Brazil,2,1,Czechoslovakia,1938
Hungary,5,1,Sweden,1938
Italy,2,1,Brazil,1938
Brazil,4,2,Sweden,1938
Italy,4,2,Hungary,1938
Brazil,4,0,Mexico,1950
England,2,0,Chile,1950
Spain,3,1,USA,1950
Sweden,3,2,Italy,1950
